1	"RT @Acosta: LeBron: ""He doesn't understand how many kids, no matter the race, look up to the president of the United States for guidance,fo…"	25/09/17 18:22	JohnnyRadio	912381804891529000
2	RT @ericajanes: Just in: the new text of the #GrahamCassidy bill allows states to allow insurance companies to no longer cover birth contro…	25/09/17 18:22	cattleranch1	912381804820127000
3	"RT @Impeach_D_Trump: The president of the United States thinks protest is perfectly fine for neo-Nazis but not for black athletes._x000D_
_x000D_
IMPEACH…"	25/09/17 18:22	valeriagarcc	912381803448717000
4	RT @BCBudbyMail: The 10 Worst States To Get Caught With Marijuana In https://t.co/AwGJkl3PN2 #Marijuana #420	25/09/17 18:22	leonardahowe111	912381802773450000
5	"RT @Impeach_D_Trump: Make no mistake about it...  _x000D_
_x000D_
21 States Were Hacked During Election.._x000D_
_x000D_
Just 3 states &amp; 66,000 votes determined the el…"	25/09/17 18:22	whiteraven1606	912381802500755000
6	"RT @RedTRaccoon: I'm going to clear something up for everyone._x000D_
_x000D_
Puerto Rico is part of the United States._x000D_
_x000D_
These are American citizens._x000D_
_x000D_
#P…"	25/09/17 18:22	keekeedeek	912381799803883000
7	Trump Budget Extends Cannabis Protections 'Til December As Plans For Study… https://t.co/YWlkugiIEJ #technology	25/09/17 18:22	chriswrighttech	912381798985936000
8	RT @PFTCommenter: Donald Trump shoud destroy the NFL by forming a United States Football League to compete directley. MY COLUMN https://t.c…	25/09/17 18:22	Greconomics56	912381794909073000
9	RT @JoyAnnReid: Reminder: the president of the United States thinks protest is perfectly fine for neo-Nazis but a firing offense for black…	25/09/17 18:22	Jimfromtheblock	912381794535780000
10	"RT @MissRandiB: @RepAdamSchiff @LiberalNavySeal FYI @jjmacnab uncovered an FB acct posing as the ""United States Warrant Service"" &amp; collecti…"	25/09/17 18:22	Mystic_False	912381793214631000
11	RT @ericajanes: Just in: the new text of the #GrahamCassidy bill allows states to allow insurance companies to no longer cover birth contro…	25/09/17 18:22	Robertapurr65	912381791092256000
12	Hey Don.. You do realize you're the President of the United States and not Gov. of Alabama right? https://t.co/YVKlzu2baq	25/09/17 18:22	iSparks_Them	912381790169522000
13	RT @JoyAnnReid: Reminder: the president of the United States thinks protest is perfectly fine for neo-Nazis but a firing offense for black…	25/09/17 18:22	fonzfranc	912381788458242000
14	RT @RedTRaccoon: RETWEET to remind @realdonaldtrump that he has the USNS COMFORT at his disposal &amp; Puerto Rico is part of the United States…	25/09/17 18:22	BenjaminWiley	912381787954978000
15	RT @RedTRaccoon: RETWEET to remind @realdonaldtrump that he has the USNS COMFORT at his disposal &amp; Puerto Rico is part of the United States…	25/09/17 18:22	Jennyberry85	912381784578564000
16	@TheTalkCBS your right everyone gets to have an opinion, so does the president of the United States, don't be hipocrits	25/09/17 18:22	ShentonBee	912381783802605000
17	RT @RaySuarezNews: The population of Puerto Rico is larger than that of 21 US states. Would a similar crisis in Iowa get the same lack of a…	25/09/17 18:22	Mcceltic	912381783622148000
18	RT @ericajanes: Just in: the new text of the #GrahamCassidy bill allows states to allow insurance companies to no longer cover birth contro…	25/09/17 18:22	Bunnywabbitt52	912381782204473000
19	Yes because you committed treason to the United States, that's how it works. https://t.co/2J855UeODt	25/09/17 18:22	UndeadBarker79	912381780891701000
20	RT @RedTRaccoon: RETWEET to remind @realdonaldtrump that he has the USNS COMFORT at his disposal &amp; Puerto Rico is part of the United States…	25/09/17 18:22	judgerubyred	912381780300369000
21	RT @PFTCommenter: Donald Trump shoud destroy the NFL by forming a United States Football League to compete directley. MY COLUMN https://t.c…	25/09/17 18:22	HoldenIlseng	912381778102497000
22	RT @benwikler: Important thread. Graham &amp; Cassidy are cooking the books to make it seem like some states gain $ that really don't. Press: d…	25/09/17 18:22	MayorBaals	912381776290607000
23	United States of Embarrassing....because we have a con man as the leader. How about we figure out it’s time to remove him.	25/09/17 18:22	mikerips	912381775334203000
24	RT @StevenTDennis: Under Graham-Cassidy 2.0, much of ACA's insurance regs simply gutted. States could affirmatively restore them one by one…	25/09/17 18:22	gnimie	912381775250370000
25	RT @RedTRaccoon: RETWEET to remind @realdonaldtrump that he has the USNS COMFORT at his disposal &amp; Puerto Rico is part of the United States…	25/09/17 18:22	wontchathink	912381770779316000
26	RT @JoyAnnReid: Reminder: the president of the United States thinks protest is perfectly fine for neo-Nazis but a firing offense for black…	25/09/17 18:22	darlene09465021	912381770414329000
27	RT @RedTRaccoon: RETWEET to remind @realdonaldtrump that he has the USNS COMFORT at his disposal &amp; Puerto Rico is part of the United States…	25/09/17 18:22	jentifer	912381768770117000
28	RT @blackgirlgonekb: It’s a shame our territories and states have to have gofundmes cause our government and Red Cross are that bad....	25/09/17 18:22	thathausagehl	912381768740810000
29	We are training new volunteers to assist with relief efforts in 8 states, #PuertoRico &amp; the U.S. Virgin Islands:… https://t.co/R9kWFOjqMA	25/09/17 18:22	RedCrossLA	912381765351759000
30	RT @RedTRaccoon: RETWEET to remind @realdonaldtrump that he has the USNS COMFORT at his disposal &amp; Puerto Rico is part of the United States…	25/09/17 18:22	galindoactual	912381762461884000
31	@helenprejean No non-slave states have the death penalty? I guess I could Google it :-)	25/09/17 18:22	lancewalley	912381758531706000
32	RT @a_salganicoff: 1. Amended #CassidyGraham would let states waive preventive serv req. (§2713) inc #birthcontrol) for those who get covg…	25/09/17 18:22	Nitemists	912381758468968000
